,title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
50,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97.0,80,"Mockumentary, Sitcom",14+
51,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62.0,80,Teen drama,14+
52,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96.0,80,Teen drama,14+
53,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94.0,80,"Sitcom, Mockumentary, Political satire",14+
54,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92.0,80,"Musical, Comedy-drama, Romantic comedy, Teen drama",
55,Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98.0,80,Animated sitcom,17+
56,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80,"Police procedural, Thriller, Crime drama, Action, Mystery",14+
57,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98.0,80,Sitcom,14+
58,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81.0,80,Teen drama,14+
59,One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90.0,80,Drama,14+
60,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97.0,80,,17+
61,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80,Sitcom,14+
62,American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90.0,80,"Horror, Anthology, Supernatural horror, Erotic thriller",17+
63,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98.0,80,Comedy-drama,17+
64,Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82,,14+
65,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,80,"Mystery, Psychological horror, Drama",14+
66,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90.0,80,Comedy,17+
67,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80,Drama,14+
68,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80.0,80,"Period drama, Musical",17+
69,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,Romantic comedy,17+
70,The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"Mystery, Drama, Science fiction, Supernatural, Fantasy",17+
71,Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90.0,80,"Science fiction, Horror, Mystery-Thrilier",14+
72,Ingobernable,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,96.0,80,Political drama,17+
73,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80,"adventure,comedy,kids,family,animation",
74,Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79.0,80,comedy,
75,Finding Dory,PG,mild thematic elements,60,2016,98.0,80,"adventure,comedy,kids,family,animation",
76,Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91.0,80,"adventure,comedy,animation",
77,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93.0,80,,
78,Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97.0,80,,
79,The Discovery,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,"scifi,romance,mystery,thriller",17+
80,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93.0,80,"Sitcom, Sex comedy, Cringe comedy",17+
81,Cheer Squad,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,61.0,80,Reality,
82,Only for One Night,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,78.0,80,"mystery,thriller",17+
83,The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,,82,,
84,The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,,82,Drama,17+
85,30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66.0,80,SitcomSatireFarce,14+
86,Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75.0,80,Period dramaSerial drama,14+
87,It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80,SitcomBlack comedyCringe comedy,17+
88,Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80,Comedy-dramaBlack comedy,17+
89,Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80,"Comedy, Satire, Sketch, Surreal humour",14+
90,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,,82,Sitcom,14+
91,Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82,Sitcom,14+
92,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92.0,80,,14+
93,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Period drama,14+
94,5 to 7,R,some sexual material,100,2014,,82,romance,
95,Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,Documentary Documentary Documentary,17+
96,Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Mockumentary,14+
97,Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80,"Serial drama, Crime drama, Black comedy, Tragedy, Legal drama",17+
98,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80,SitcomSatireComedy-drama,14+
99,Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,Sitcom,17+
100,Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,Comedy,17+
101,Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82,Comedy-drama,17+
102,Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,Talk show,17+
103,Abstract: The Art of Design,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82,Documentary,14+
104,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Sitcom,14+
105,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94.0,80,"Baking Reality Cooking, Baking Cooking, Baking Cooking, Baking",
106,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68.0,80,Sitcom,14+
107,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82,"Romantic comedy, Black comedy, Satire, Comedy-drama, Cringe comedy, Musical",14+
108,Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"Comedy-drama, Mumblecore, Anthology",17+
109,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Comic science-fictionRomantic fantasyFantasyComedy-drama,14+
110,Minimalism: A Documentary About the Important Things,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,,82,,
111,Hot Girls Wanted: Turned On,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,,17+
112,Win It All,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,comedy,17+
113,MerlÌ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,,82,,
114,Amy Schumer: The Leather Special,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,,17+
115,Louis C.K. 2017,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,71.0,80,,17+
116,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94.0,80,Stand-uptelevisionfilm Observational comedysurreal humorsketch comedyblack comedyinsult comedysatire American politicsAfrican-American culturepop cultureracismrace relationsrecreational drug usecurrent eventshuman sexuality,17+
117,Almost Adults,NR,This movie has not been rated.,124,2016,,82,"comedy,drama",
118,The Brothers,R,strong sexual content and language,100,2001,,82,,
119,Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,,82,Teen drama Comedy-drama,17+
120,The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80,Animated sitcom,14+
121,Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59.0,80,Sitcom,14+
122,Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73.0,80,Sitcom,14+
123,Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,,82,romance,14+
124,Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80,Animated sitcom,17+
125,BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"Adult animation, Animated sitcom, Tragicomedy, Black comedy, Surreal humor, Comedy-drama, Satire",17+
126,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,,14+
127,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Sitcom,14+
128,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86.0,80,Animated sitcom,14+
129,Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80,"Comedy-drama, Romantic comedy, Telenovela, Satire",14+
130,Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79.0,80,Documentary,
131,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80,Sitcom,14+
132,November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82,romance,14+
133,Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58.0,80,Comedy,14+
134,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96.0,80,"kids,family,fantasy,action,adventure,animation",
135,Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,Teen drama Comedy-drama,17+
136,A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,comedy,17+
137,Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,Comedy horror,17+
138,Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,,81,"biography,drama",
139,Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61.0,80,"comedy,drama",14+
140,Deidra & Laney Rob a Train,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82,,14+
141,Hurricane Bianca,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,comedy,17+
142,Honeytrap,NR,This movie has not been rated.,124,2014,,82,"crime,romance,drama",
143,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80,DramaMystery,14+
144,Lazy Eye,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"romance,drama",17+
145,Like Cotton Twines,NR,This movie has not been rated.,124,2016,,82,drama,
146,The Wedding Party,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,"comedy,drama",14+
147,Boy Bye,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,romance,17+
148,Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,,82,"adventure,mystery,thriller,kids,family",
149,Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82.0,80,Medical dramaDark comedyComedy-drama,17+
150,Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,,82,"Comedy-drama, Fantasy, Legal Drama",
151,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91.0,80,Comedy-drama,14+
152,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79.0,80,"comedy,drama",14+
153,Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,55.0,80,Teen drama,
154,Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58.0,80,,14+
155,The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,,82,"Teen drama, Comedy-drama, Period drama",14+
156,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80.0,80,Sitcom,14+
157,The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,,82,"comedy,drama",17+
158,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81.0,80,"Science fiction, Drama",17+
159,Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63.0,80,,14+
160,Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82,,17+
161,The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69.0,80,"comedy,drama",
162,The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89.0,80,Fantasy,17+
163,One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82,Comedy,
164,Better Off Single,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,romance,17+
165,The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79.0,80,romance,
166,Tramps,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,,17+
167,Slam,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,drama,17+
168,The Waterboy,PG-13,language and some crude sexual humor,80,1998,82.0,80,,
169,10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68.0,80,Sitcom,
170,Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86.0,80,"musical,romance",
171,How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56.0,80,romance,
172,The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77.0,80,,
173,Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64.0,80,"Drama, Dance",
174,High School Musical 2,TV-G,Suitable for all ages.,35,2007,58.0,80,"musical,comedy,kids,family",
175,Twilight,PG-13,some violence and one sexual scene,80,2008,89.0,80,"romance,fantasy",
176,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80,"fantasy,kids,family,animation",
177,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56.0,80,,
178,Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81.0,80,"Sports drama, Teen drama, Family drama",
179,StarStruck,TV-G,Suitable for all ages.,35,2010,,82,drama,
180,Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,,82,comedy,
181,That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89.0,80,"Comedy, Period sitcom, Teen sitcom",14+
