title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97.0,80,"Mockumentary, Sitcom",14+
90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62.0,80,Teen drama,14+
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96.0,80,Teen drama,14+
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94.0,80,"Sitcom, Mockumentary, Political satire",14+
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92.0,80,"Musical, Comedy-drama, Romantic comedy, Teen drama",no restriction
Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98.0,80,Animated sitcom,17+
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80,"Police procedural, Thriller, Crime drama, Action, Mystery",14+
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98.0,80,Sitcom,14+
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81.0,80,Teen drama,14+
One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90.0,80,Drama,14+
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97.0,80,,17+
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80,Sitcom,14+
American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90.0,80,"Horror, Anthology, Supernatural horror, Erotic thriller",17+
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98.0,80,Comedy-drama,17+
Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82,,14+
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,80,"Mystery, Psychological horror, Drama",14+
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90.0,80,Comedy,17+
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80,"Legal drama, Mystery, Thriller",14+
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80.0,80,"Period drama, Musical",17+
Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,Romantic comedyComedy-drama,17+
The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"Mystery, Drama, Science fiction, Supernatural, Fantasy",17+
