title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
The Girl in the Book,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82,drama,17+
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80,"Terrorism thriller, Drama, Conspiracy thriller",14+
100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,drama,17+
Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95.0,80,Crime dramaPsychological thrillerMysteryDark comedyPolice procedural,17+
Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86.0,80,"Action/Adventure, Caper story, Comedy-drama, Crime, Thriller",no restriction
Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85.0,80,Espionage Drama Action,14+
Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69.0,80,"Crime drama, Psychological thriller, Serial drama",14+
Hawaii Five-0,TV-14,"dialogue, language, sexual situations and violence",90,2016,96.0,80,,no restriction
Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,97.0,80,Sitcom,no restriction
Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80,"Crime drama, Action, Science fiction",14+
Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68.0,80,"DramaThriller, B nnii",14+
Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80,ActionCrimeThriller,14+
The Following,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82,"Psychological thriller, Horror, Crime drama",14+
"Drugs, Inc.",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82,,14+
Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80,Crime dramaNeo-Western,14+
Ripper Street,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"Drama, Mystery",17+
The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80,"Crime drama, Thriller",17+
Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80,Crime dramaDetective fiction,14+
Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,89.0,80,"Action, Drama, Science fiction, Superhero",no restriction
Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,66.0,80,Crime drama,14+
The Honorable Woman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,,82,Political thrillerSpy thriller,17+
Transporter: The Series,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,,82,Action/AdventureThriller,17+
Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,85.0,80,"Action, Crime, Drama",14+
American Odyssey,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82,"Drama, Thriller, Action",14+
Aquarius,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82,"Period drama, Crime drama",17+
Hap and Leonard,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80,Crime dramaMysteryDark comedy,17+
Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80,Police procedural,14+
Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80,"Science fiction, Comedy-drama, Thriller",14+
Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,86.0,80,Science fiction,17+
The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80,MysteryCrimePeriod drama,17+
I.T,NR,This movie has not been rated.,124,2016,,82,Public ConglomerateFashionInvestment,no restriction
Bordertown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,Animated sitcom,17+
The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79.0,80,"Serial, Political drama",14+
Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80,"Police procedural, Crime drama",14+
Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88.0,80,Documentary True crime,14+
Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,TragedyLegal dramaSouthern Gothic,14+
American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Crime drama,14+
Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70.0,80,Political dramaThriller,14+
American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79.0,80,,17+
The Nightmare Before Christmas,PG,some scary images,60,1993,84.0,80,,no restriction
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80,,no restriction
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80,"kids,family,animation,comedy",no restriction
Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82,"kids,family,action,animation,adventure",no restriction
Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80,,no restriction
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82,,no restriction
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82,,no restriction
Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,10,2010,,82,,no restriction
Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,,82,"Action/Adventure, Animation",7+
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80,Comedy,no restriction
LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,10,2010,,82,,no restriction
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80,,no restriction
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80,Surreal comedyMusical,no restriction
The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80,SuperheroActionAdventureMysteryCrime,7+
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80,SuperheroScience fictionActionAdventure,7+
Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,,82,SuperheroScience fictionActionAdventure,7+
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80,ActionAdventureScience fantasySuperhero,7+
Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71.0,80,ActionAdventureScience fictionSuperheroTeen drama,no restriction
The Super Mario Bros. Super Show!,TV-Y7,Suitable for children ages 7 and older,41,1989,,82,"Adventure, Fantasy",7+
Power Rangers Zeo,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1996,,82,ActionAdventureScience fantasySuperhero,7+
Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,,82,"Silent comedy, Slapstick",no restriction
Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82,"Action, Adventure, Science fiction, Drama, Thriller Soundtrack",7+
The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,10,2011,,82,,no restriction
Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,"Science fiction, Children's television, Comedy, Superhero",7+
Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,35,2013,,82,,no restriction
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82,,7+
Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2014,,82,"adventure,action,scifi,fantasy",7+
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82,,7+
Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82,,no restriction
VeggieTales in the House,TV-Y,Suitable for all ages.,10,2016,,82,ComedyChristianity,no restriction
Thunder and the House Of Magic,TV-G,Suitable for all ages.,35,2013,,82,"kids,family,animation,adventure,comedy",no restriction
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80,AdventureAnimationComedySlapstick,7+
Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,"Animation, adventure, science fantasy, drama",7+
Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,,82,,no restriction
Slugterra: Slug Fu Showdown,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,,82,,7+
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,Comedy,7+
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,,7+
Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,,82,,7+
Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,ActionAdventureScience fantasySuperhero,7+
Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82,"comedy,fantasy",no restriction
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80,Animation,no restriction
The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80,"animation,kids,family,action,comedy,adventure",no restriction
The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81,"kids,family,animation,adventure,comedy",no restriction
The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,,82,"Educational television, Puppetery",no restriction
Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,,82,,no restriction
Angry Birds,TV-G,Suitable for all ages.,35,2013,,82,"Comedy, Adventure, Animated",no restriction
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80,,no restriction
Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,,82,Science FantasyComedyActionAdventureScience Fiction,7+
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80,,no restriction
The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80,"kids,family,animation,adventure,fantasy",no restriction
The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,,82,,no restriction
Bob the Builder,TV-Y,Suitable for all ages.,10,2015,,82,Children's animation,no restriction
Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,41,2009,,82,,7+
Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,,82,ActionAdventureComedyDramaScience fantasySuperhero,7+
DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,,82,,no restriction
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67.0,80,"CGI Animation, Action/Adventure, Science fantasy, Comedy, Martial arts, Superhero",7+
Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80,HorrorAnthologySupernaturalScience FictionScience FantasyFantasyComedy,7+
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,,82,,7+
Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,,82,"kids,family,adventure,comedy",no restriction
Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82,,no restriction
PokÃÂ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80,,no restriction
Ratchet and Clank,PG,action and some rude humor,60,2016,74.0,80,"animation,kids,family,action,comedy,adventure,scifi",no restriction
Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,,82,ActionAdventureScience fantasyComedyAnimationSuperhero,7+
Iron Man & Captain America: Heroes United,PG,"action and violence throughout, and mild language",60,2014,,82,,no restriction
Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,,82,TokusatsuActionAdventureScience fictionSuperhero,7+
Chuggington,TV-Y,Suitable for all ages.,10,2015,,82,Animation,no restriction
The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,80,"Comedy, Action, Adventure, Animation",7+
Some Assembly Required,TV-G,Suitable for all ages.,35,2015,,82,,no restriction
Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,Comedy-DramaFantasyActionAdventure,7+
Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,,7+
Robocar Poli,TV-Y,Suitable for all ages.,10,2012,,82,"Animation, Children, Comedy, Music, Adventure, Educational, Preschool",no restriction
LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82,,7+
Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82,ActionAdventureScience fantasyMechaComedy-drama,7+
Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82,"Comedy, Stop-Motion",no restriction
PokÃÂ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56.0,80,,7+
Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,ActionAdventureScience fantasySuperhero,7+
The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,"adventure,mystery,thriller",7+
Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,Action-adventureComedyFantasy,7+
Growing Up Wild,G,General Audiences. Suitable for all ages.,35,2016,80.0,80,Wildlife documentary,no restriction
The Little Rascals,PG,some rude dialogue,60,1994,86.0,80,"kids,family,comedy",no restriction
Flubber,PG,slapstick action and mild language,60,1997,83.0,80,"kids,family,comedy",no restriction
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80,"kids,family,animation,musical",no restriction
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80,,no restriction
Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80,"Science fiction, Adventure, Comedy",no restriction
Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82.0,80,,no restriction
The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,,82,Cartoon,no restriction
Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,,82,,no restriction
The Pacifier,PG,"action violence, language and rude humor",60,2005,91.0,80,,no restriction
Bee Movie,PG,mild suggestive humor,60,2007,94.0,80,"kids,family,animation,adventure,comedy",no restriction
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80,ComedyAction/AdventureMartial arts,no restriction
Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80,ChildrenEducational,no restriction
Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80,Kids&Family,no restriction
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82,,no restriction
Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85.0,80,"Comedy, Science fiction",7+
Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80,Preschool educationComedy,no restriction
Octonauts,TV-Y,Suitable for all ages.,10,2015,,82,ChildrenAnimationActionAdventure film,no restriction
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80,AdventureFantasyComedy-drama,7+
Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,,82,Preschool,no restriction
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80,Children's television seriesEducationalAdventureMusical,no restriction
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80,"kids,family,animation,comedy,fantasy",no restriction
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80,ComedyAdventure,7+
Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90.0,80,HorrorAnthologySupernaturalScience FictionScience FantasyFantasyComedy,no restriction
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80,"kids,family,animation,adventure,comedy",no restriction
Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,,82,Comic science fictionAnimationComedy,7+
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80,,no restriction
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82,,no restriction
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80,"kids,family,fantasy",no restriction
Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,,82,Children's televisionAnimatedEducational,no restriction
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80,,no restriction
Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,,82,,no restriction
Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,,82,ChildrenComedy,no restriction
Antz,PG,moderate adult language and intense action,60,1998,80.0,80,"animation,fantasy,kids,family,comedy,adventure,romance",no restriction
Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80.0,80,"kids,family,animation,adventure,comedy",no restriction
Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64.0,80,,no restriction
Annie,PG,adult content and mld violence,60,1982,68.0,80,"kids,family,musical,comedy",no restriction
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80,,no restriction
Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85.0,80,,no restriction
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56.0,80,,no restriction
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,,82,,no restriction
DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82,,no restriction
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80,EducationalAdventureComedyScience fantasy,no restriction
Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82,,no restriction
Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80,FantasyAdventureMusicalComedyMagical girl,no restriction
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80,,no restriction
Paddington,PG,mild action and rude humor,60,2014,70.0,80,Animation,no restriction
Larva,TV-G,Suitable for all ages.,35,2015,,82,ComedyAnimationSlapstick,no restriction
Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,,82,Children's television seriesEducation,no restriction
Minions,PG,action and rude humor,60,2015,96.0,80,"kids,family,animation,adventure,comedy",no restriction
The Little Prince,PG,mild thematic elements,60,2015,71.0,80,"adventure,animation,fantasy",no restriction
Word Party,TV-Y,Suitable for all ages.,10,2016,,82,Educational,no restriction
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80,documentary,no restriction
Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96.0,80,,no restriction
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80,,no restriction
Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75.0,80,,no restriction
Curious George,G,General Audiences. Suitable for all ages.,35,2006,55.0,80,Animation,no restriction
Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65.0,80,,no restriction
Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,,82,"Education, Comedy, Fantasy",no restriction
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80,Division Motion pictures,no restriction
Bunk'd,TV-G,Suitable for all ages.,35,2016,61.0,80,Comedy,no restriction
The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80,"kids,family,animation,fantasy",no restriction
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80,Animation,7+
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82,,no restriction
The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81.0,80,,no restriction
Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82,"kids,family,comedy",no restriction
The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80,,no restriction
Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82,"kids,family,music,musical,animation",no restriction
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80,,no restriction
Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80,"kids,family,animation,fantasy",no restriction
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80,"kids,family,animation,fantasy",no restriction
Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82,,no restriction
FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,,82,,no restriction
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82,,no restriction
Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80,United States of America (Territory of Alaska),no restriction
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82,"kids,family,drama,fantasy",no restriction
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82,"kids,family,animation,musical",no restriction
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,,82,,no restriction
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82,,no restriction
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82,,no restriction
The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,,82,"kids,family,animation,fantasy",no restriction
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80,"kids,family,animation,adventure,comedy",no restriction
The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,,82,,no restriction
Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,,82,,no restriction
A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,,82,"animation,comedy,kids,family,adventure",no restriction
The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82,"kids,family,animation,adventure,fantasy",no restriction
DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82,"animation,fantasy,kids,family,comedy,adventure",no restriction
Ernest & Celestine,PG,some scary moments,60,2012,,82,,no restriction
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80,ComedyMusicalSatireSketcheducationalSlapstick,7+
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82,,no restriction
PopPixie,TV-G,Suitable for all ages.,35,2011,,82,"Fantasy, Adventure",no restriction
Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,,82,,no restriction
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80,"kids,family,animation,adventure,fantasy",no restriction
Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,,82,,no restriction
The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,,82,,7+
The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82,"kids,family,animation,adventure",no restriction
Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82,,no restriction
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82,,no restriction
Quackerz,PG,"rude and suggestive humor, and some action",60,2016,,82,"animation,comedy,fantasy",no restriction
Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82,"kids,family,animation,adventure",7+
Blinky Bill: The Movie,PG,some rude humor,60,2015,,82,,no restriction
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70.0,80,,no restriction
The Lizzie McGuire Movie,PG,mild thematic elements,60,2003,,82,,no restriction
Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,,82,Children's television seriesComedy,no restriction
The Very Hungry Caterpillar and Other Stories,TV-Y,Suitable for all ages.,10,1993,,82,,no restriction
The Hero of Color City,G,General Audiences. Suitable for all ages.,35,2014,,82,"kids,family,animation,adventure",no restriction
The Little Engine That Could,G,General Audiences. Suitable for all ages.,35,2011,,82,,no restriction
Delhi Safari,PG,"violence and menacing action, rude humor, suggestive content and thematic elements",60,2012,,82,"kids,family,animation,adventure,comedy",no restriction
Pound Puppies,TV-Y,Suitable for all ages.,10,2013,,82,,no restriction
Monster Math Squad,TV-G,Suitable for all ages.,35,2012,,82,,no restriction
Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,,82,AdventureMusical,no restriction
Clifford's Puppy Days,TV-Y,Suitable for all ages.,10,2003,,82,Children's,no restriction
Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,,82,Anime&Manga,7+
Ribbit,PG,some peril,60,2014,,82,"animation,kids,family,comedy,adventure,drama",no restriction
Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,,82,,no restriction
My Animal Friends,TV-Y,Suitable for all ages.,10,2013,,82,,no restriction
Worms,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82,"kids,family,animation,adventure",no restriction
Puffin Rock,TV-Y,Suitable for all ages.,10,2016,,82,Children's television series,no restriction
The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,,82,ComedyMusicalHistory,7+
Zoobabu,TV-Y,Suitable for all ages.,10,2010,,82,,no restriction
Gon,TV-G,Suitable for all ages.,35,2013,,82,,no restriction
Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,,82,,no restriction
LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,,82,,7+
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58.0,80,Sitcom,no restriction
Cats & Dogs,PG,animal action and humor,60,2001,,82,,no restriction
Atlantis: The Lost Empire,PG,action violence,60,2001,96.0,80,,no restriction
Tarzan & Jane,G,General Audiences. Suitable for all ages.,35,2002,,82,,no restriction
Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79.0,80,,no restriction
Batched,G,General Audiences. Suitable for all ages.,35,2000,,82,,no restriction
Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,,82,,no restriction
Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,,82,,no restriction
Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,,82,,no restriction
Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91.0,80,"kids,family,animation,fantasy",no restriction
Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,,82,,no restriction
